,Questions,Queries
0,Đảng Dân chủ Việt Nam được thành lập vào thời gian nào?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Dân chủ Việt Nam""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b"
1,Mục tiêu của việc thành lập Trung Quốc Đồng minh hội là gì?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Trung Quốc Đồng minh hội""
match (e)-[:muc_tieu]-(b)
return b"
2,Cuộc khởi nghĩa của Phan Bá Vành bắt đầu vào năm nào?,"match (e:Event)-[:doi_tuong_lanh_dao]-(a) where a.name = ""Phan Bá Vành""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b"
3,"nguyên nhân, bối cảnh của cuộc cách mạng tư sản Hà Lan vào thế kỉ XVI là gì?","match (e:Event)-[:ten_goi]-(a) where a.name = ""cuộc cách mạng tư sản Hà Lan""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where b.name = ""thế kỉ XVI""
match (e)-[:Causal|nguyen_nhan|boi_canh]->(e1)
match path=(e1)-[:(Causal|NextEvent)*0..]-(b) where (b)<-[:Causal*0..]-() and (b)-[:NextEvent*0..]->()
with nodes(path) as l
match path=(x)-[*0..1]-(y:Entity) where x in l
return path"
4,Cuộc khởi nghĩa của Lê Văn Khôi diễn ra ở đâu?,"match (e:Event)-[:doi_tuong_lanh_dao]-(a) where a.name = ""Lê Văn Khôi""
match (e)-[:(dien_ra_o|thuoc)*]-(b)
return b"
5,Trình bày quá trình hình thành liên bang cộng hòa xã hội chủ nghĩa Xô Viết,"match (e:Event)-[:NextEvent|Result|Causal]-(e1) where (e)-[:NextEvent|Result]->(e1) or (e)<-[:Causal]-(e1)
match (e1)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name=""liên bang cộng hòa xã hội chủ nghĩa Xô Viết""
match path=(e)-[*0..1]-(y:Entity)
return path"
6,Trình bày diễn biến của cuộc đấu tranh thống nhất nước Đức vào giữa thế kỉ XIX,"match (e:Event)-[:ten_goi]-(a) where b.name = ""cuộc đấu tranh thống nhất nước Đức""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) where a.name = ""giữa thế kỉ XIX""
match (e)-[:SubEvent|mo_ta]->(e1)
match path=(e1)-[:(NextEvent|Causal|Result|SubEvent)*]-()
with nodes(path) as l
match path = (x)-[*0..1]-(y:Entity) where x in l
return path"
7,Chiến tranh Bắc phạt bắt đầu vào năm nào?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Chiến tranh Bắc phạt""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau]-(b)
return b"
8,Đảng Cộng sản In-đô-nê-xi-a được thành lập vào năm nào?,"match (e:ThanhLap)-[:doi_tuong_duoc_thanh_lap]-(a) where a.name = ""Đảng Cộng sản In-đô-nê-xi-a""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b)
return b"
9,Khởi nghĩa Lam Sơn diễn ra vào thời gian nào?,"match (e:Event)-[:ten_goi]-(a) where a.name = ""Khởi nghĩa Lam Sơn""
match (e)-[:dien_ra_vao|thoi_gian_bat_dau|thoi_gian_ket_thuc]-(b) 
return b"
